ID,Address,Latitude,Longitude,SPD_wind_vuln,SPD_exposure,SPD_tc_1000_ARI_baseline,SPD_tc_1000_ARI_RCP45_2041-2060,SPD_tc_1000_ARI_RCP45_2081-2100,SPD_tc_1000_ARI_RCP85_2041-2060,SPD_tc_1000_ARI_RCP85_2081-2100,SPD_tc_100_ARI_baseline,SPD_tc_100_ARI_RCP45_2041-2060,SPD_tc_100_ARI_RCP45_2081-2100,SPD_tc_100_ARI_RCP85_2041-2060,SPD_tc_100_ARI_RCP85_2081-2100,SPD_tc_10_ARI_baseline,SPD_tc_10_ARI_RCP45_2041-2060,SPD_tc_10_ARI_RCP45_2081-2100,SPD_tc_10_ARI_RCP85_2041-2060,SPD_tc_10_ARI_RCP85_2081-2100,SPD_tc_20_ARI_baseline,SPD_tc_20_ARI_RCP45_2041-2060,SPD_tc_20_ARI_RCP45_2081-2100,SPD_tc_20_ARI_RCP85_2041-2060,SPD_tc_20_ARI_RCP85_2081-2100,SPD_tc_500_ARI_baseline,SPD_tc_500_ARI_RCP45_2041-2060,SPD_tc_500_ARI_RCP45_2081-2100,SPD_tc_500_ARI_RCP85_2041-2060,SPD_tc_500_ARI_RCP85_2081-2100,SPD_tc_50_ARI_baseline,SPD_tc_50_ARI_RCP45_2041-2060,SPD_tc_50_ARI_RCP45_2081-2100,SPD_tc_50_ARI_RCP85_2041-2060,SPD_tc_50_ARI_RCP85_2081-2100,DM_tc_1000_ARI_baseline,DM_tc_1000_ARI_RCP45_2041-2060,DM_tc_1000_ARI_RCP45_2081-2100,DM_tc_1000_ARI_RCP85_2041-2060,DM_tc_1000_ARI_RCP85_2081-2100,DM_tc_100_ARI_baseline,DM_tc_100_ARI_RCP45_2041-2060,DM_tc_100_ARI_RCP45_2081-2100,DM_tc_100_ARI_RCP85_2041-2060,DM_tc_100_ARI_RCP85_2081-2100,DM_tc_10_ARI_baseline,DM_tc_10_ARI_RCP45_2041-2060,DM_tc_10_ARI_RCP45_2081-2100,DM_tc_10_ARI_RCP85_2041-2060,DM_tc_10_ARI_RCP85_2081-2100,DM_tc_20_ARI_baseline,DM_tc_20_ARI_RCP45_2041-2060,DM_tc_20_ARI_RCP45_2081-2100,DM_tc_20_ARI_RCP85_2041-2060,DM_tc_20_ARI_RCP85_2081-2100,DM_tc_500_ARI_baseline,DM_tc_500_ARI_RCP45_2041-2060,DM_tc_500_ARI_RCP45_2081-2100,DM_tc_500_ARI_RCP85_2041-2060,DM_tc_500_ARI_RCP85_2081-2100,DM_tc_50_ARI_baseline,DM_tc_50_ARI_RCP45_2041-2060,DM_tc_50_ARI_RCP45_2081-2100,DM_tc_50_ARI_RCP85_2041-2060,DM_tc_50_ARI_RCP85_2081-2100,45_2041Avg_Loss,45_2081Avg_Loss,85_2041Avg_Loss,85_2081Avg_Loss,45_2041Avg_DM,45_2081Avg_DM,85_2041Avg_DM,85_2081Avg_DM,Baseline_Avg_DM,Index_45_2041Avg_DM,Index_45_2081Avg_DM,Index_85_2041Avg_DM,Index_85_2081Avg_DM,Index_Baseline_Avg_DM
1,"Absolute beach front Mackay,4740,queensland",-21.0506584,149.1915115,TC_Curve3,98316,102.44477,104.97898,106.81846,100.98542,96.90508,66.86595,66.93648,63.36722,57.774845,50.383312,23.788965,22.341522,13.338624,15.429928,9.548401,39.016396,38.41799,31.434582,31.042334,24.265303,85.28707,87.038086,87.211044,76.25859,68.938416,55.923527,55.81454,50.87504,47.824043,41.17028,0.999950195,0.999968745,0.999977714,0.999934867,0.99986209,0.96660911,0.967025127,0.938324186,0.844741567,0.582943114,0.010405041,0.007993151,0.001536827,0.002255846,0.000766123,0.147398176,0.134100087,0.04112224,0.038370632,0.011346645,0.998833501,0.999154333,0.999180781,0.993895009,0.976945563,0.794707758,0.791419118,0.604746029,0.466126244,0.204382927,6900.135351,5352.215068,4618.672411,2891.149412,0.070183239,0.054438902,0.046977831,0.029406703,0.071488832,3,2,2,1,3
2,"Comfort resort blue pacific,4740,queensland",-21.0515856,149.1898916,TC_Curve3,931289,101.84748,103.405975,106.60019,99.90586,92.98344,66.047424,65.49463,62.240673,57.122932,49.622364,23.764702,22.171194,13.318093,15.396936,9.56218,38.818096,38.176838,31.154871,30.956245,24.057138,85.96212,87.88896,87.89591,76.683815,69.24921,55.462273,55.125587,50.616573,47.52523,40.716557,0.999944414,0.999958263,0.999976802,0.999920567,0.999716412,0.961395218,0.957440788,0.925191304,0.828363509,0.548584296,0.010359205,0.00774861,0.001531045,0.002242233,0.000768065,0.142874696,0.129034389,0.039141472,0.03779082,0.010925214,0.998969522,0.999276718,0.999277641,0.994351555,0.978198151,0.780525206,0.769736461,0.593331867,0.452482516,0.191151028,64004.72045,49905.97433,42927.11978,26296.32191,0.068727023,0.053588064,0.046094306,0.028236479,0.070464728,3,2,2,1,3
3,"mantra mackay,4740,queensland",-21.1120683,149.2240027,TC_Curve3,336494,101.18499,103.489456,106.46453,99.00987,97.78467,65.99808,66.66259,62.805813,56.578426,49.704384,23.584509,22.232494,13.312251,15.336253,9.482061,38.483788,37.700657,30.83997,30.761505,24.032562,83.5649,84.53956,86.55015,74.23965,67.050186,55.261963,55.426983,50.209015,47.643646,40.541492,0.999937214,0.999958899,0.999976216,0.999906343,0.999882681,0.961057051,0.965380969,0.93207303,0.813657866,0.552316116,0.010024993,0.007835752,0.001529404,0.002217409,0.000756842,0.135511081,0.119510012,0.03702104,0.036510126,0.010876492,0.998399645,0.998661862,0.999075028,0.991175014,0.967685344,0.774150756,0.779411634,0.57513153,0.457881974,0.186223649,23047.76181,17771.0492,15449.54409,9424.405606,0.068493827,0.052812381,0.045913283,0.028007648,0.069592727,3,2,2,1,3
4,"Rydges mackay suites , 4740, queensland",-21.1420248,149.1847443,TC_Curve3,466085,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,30701.4856,23294.21848,20205.81977,11972.96595,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
5,"McGuire's hotel, 4740, queensland",-21.1404106,149.1862115,TC_Curve3,730183,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,48097.88529,36493.43431,31655.05454,18757.21423,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
6,"Oaks Mackay rivermarque hotel, 4740, queensland",-21.1388965,149.18272,TC_Curve3,796270,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,52451.10214,39796.36192,34520.07274,20454.88183,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
7,"Mackay Ocean Side central Hotel, 4740, queensland",-21.148159,149.2021942,TC_Curve3,736672,99.38802,99.66409,104.564835,96.96822,96.98681,65.105,65.29771,61.9126,55.13504,48.546463,23.342722,22.120821,13.33252,15.102258,9.246266,38.02639,37.319706,30.5683,30.648623,23.95457,82.57156,83.43027,84.15229,73.171814,66.624,54.760235,55.168636,49.587765,47.56795,40.2849,0.999912633,0.999916957,0.999966272,0.999863682,0.999864147,0.954424035,0.95594071,0.920907697,0.770044377,0.499281901,0.009593254,0.007677722,0.001535105,0.002124228,0.000724753,0.125957305,0.112333556,0.03528085,0.035786986,0.010723295,0.99807957,0.998359599,0.998563245,0.989281024,0.965143052,0.757614776,0.771136398,0.547008397,0.454429253,0.179179485,49657.66913,37822.90127,33084.33147,19694.56237,0.067408113,0.051342933,0.044910532,0.026734506,0.0680231,3,2,2,1,3
8,"Metropolitan Hotel, 4740, queensland",-21.1441599,149.1897569,TC_Curve3,792424,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,52197.76227,39604.1447,34353.3401,20356.08434,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
9,"Shamrock hotel, 4740, queensland",-21.1561622,149.1649475,TC_Curve3,953186,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,62787.31617,47638.78463,41322.7298,24485.79877,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
10,"Booomerang Hotel, 4740, queensland",-21.1656627,149.1555786,TC_Curve3,420182,99.427956,100.0366,103.98611,95.89612,94.50344,64.645134,64.319855,61.07151,55.2809,48.28858,23.210484,21.792347,13.073029,15.109788,9.252893,37.73261,37.199394,30.400167,30.014292,23.45792,83.19938,84.10861,84.90743,73.58312,66.88445,54.21454,54.287525,49.006763,46.8245,39.53784,0.999913272,0.999922454,0.999962486,0.999833983,0.999785543,0.950601359,0.947715935,0.908884806,0.774758932,0.487430471,0.00936497,0.007230996,0.001463686,0.002127165,0.000725636,0.120129601,0.110146553,0.034243628,0.031973203,0.009796608,0.998288581,0.998551677,0.998749272,0.990054006,0.966718733,0.738716887,0.741298821,0.520429251,0.420800633,0.159859033,27677.80904,21000.05645,18215.82278,10793.7925,0.065871001,0.049978477,0.043352221,0.025688374,0.066722627,3,2,2,1,3
